Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
20503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.3301;32.3301;32.3301;01-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.6869;32.6869;32.6869;06-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.6857;32.6857;32.6857;07-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.9273;32.9273;32.9273;08-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;33.1982;33.1982;33.1982;09-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;33.1360;33.1360;33.1360;10-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;33.2823;33.2823;33.2823;13-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;33.0515;33.0515;33.0515;15-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.8264;32.8264;32.8264;16-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.3058;32.3058;32.3058;17-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.8738;31.8738;31.8738;20-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.5093;31.5093;31.5093;21-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.5142;31.5142;31.5142;22-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.4737;31.4737;31.4737;23-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.8648;30.8648;30.8648;24-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.3803;30.3803;30.3803;27-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.6372;30.6372;30.6372;28-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.8290;30.8290;30.8290;29-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.8966;30.8966;30.8966;30-Apr-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.2359;31.2359;31.2359;04-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.3228;31.3228;31.3228;05-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.4940;30.4940;30.4940;06-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.1706;30.1706;30.1706;07-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.7078;30.7078;30.7078;08-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.2258;31.2258;31.2258;11-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.7320;30.7320;30.7320;12-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.1284;31.1284;31.1284;13-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.1969;31.1969;31.1969;14-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.4703;31.4703;31.4703;15-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.7115;31.7115;31.7115;18-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.6987;31.6987;31.6987;19-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.8650;31.8650;31.8650;20-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.9179;31.9179;31.9179;21-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;32.0902;32.0902;32.0902;22-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.9221;31.9221;31.9221;25-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.7168;31.7168;31.7168;26-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.4793;31.4793;31.4793;27-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.3662;31.3662;31.3662;28-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.8416;31.8416;31.8416;29-May-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.6586;31.6586;31.6586;01-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;31.1166;31.1166;31.1166;02-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.7576;30.7576;30.7576;03-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.8150;30.8150;30.8150;04-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.7798;30.7798;30.7798;05-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.4278;30.4278;30.4278;08-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.2900;30.2900;30.2900;09-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.6897;30.6897;30.6897;10-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.2249;30.2249;30.2249;11-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.0924;30.0924;30.0924;12-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.2065;30.2065;30.2065;15-Jun-2015
120503;Axis Long Term Equity Fund - Direct Plan - Growth Option;30.2884;30.2884;30.2884;16-Jun-2015
