Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
112322;Axis Long Term Equity Fund - Dividend;22.9937;22.9937;22.9937;01-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.2442;23.2442;23.2442;06-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.2427;23.2427;23.2427;07-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.4135;23.4135;23.4135;08-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.6055;23.6055;23.6055;09-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.5606;23.5606;23.5606;10-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.6626;23.6626;23.6626;13-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.4968;23.4968;23.4968;15-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;23.3360;23.3360;23.3360;16-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;22.9652;22.9652;22.9652;17-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;22.6561;22.6561;22.6561;20-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;22.3961;22.3961;22.3961;21-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;22.3988;22.3988;22.3988;22-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;22.3695;22.3695;22.3695;23-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;21.9362;21.9362;21.9362;24-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;21.5899;21.5899;21.5899;27-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;21.7718;21.7718;21.7718;28-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;21.9075;21.9075;21.9075;29-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;21.9548;21.9548;21.9548;30-Apr-2015
112322;Axis Long Term Equity Fund - Dividend;22.1932;22.1932;22.1932;04-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.2540;22.2540;22.2540;05-May-2015
112322;Axis Long Term Equity Fund - Dividend;21.6645;21.6645;21.6645;06-May-2015
112322;Axis Long Term Equity Fund - Dividend;21.4342;21.4342;21.4342;07-May-2015
112322;Axis Long Term Equity Fund - Dividend;21.8153;21.8153;21.8153;08-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.1813;22.1813;22.1813;11-May-2015
112322;Axis Long Term Equity Fund - Dividend;21.8297;21.8297;21.8297;12-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.1107;22.1107;22.1107;13-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.1587;22.1587;22.1587;14-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.3523;22.3523;22.3523;15-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.5216;22.5216;22.5216;18-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.5121;22.5121;22.5121;19-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.6294;22.6294;22.6294;20-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.6663;22.6663;22.6663;21-May-2015
112322;Axis Long Term Equity Fund - Dividend;22.7880;22.7880;22.7880;22-May-2015
