Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
112323;Axis Long Term Equity Fund - Growth;31.4348;31.4348;31.4348;01-Apr-2015
112323;Axis Long Term Equity Fund - Growth;31.7773;31.7773;31.7773;06-Apr-2015
112323;Axis Long Term Equity Fund - Growth;31.7752;31.7752;31.7752;07-Apr-2015
112323;Axis Long Term Equity Fund - Growth;32.0088;32.0088;32.0088;08-Apr-2015
112323;Axis Long Term Equity Fund - Growth;32.2712;32.2712;32.2712;09-Apr-2015
112323;Axis Long Term Equity Fund - Growth;32.2099;32.2099;32.2099;10-Apr-2015
112323;Axis Long Term Equity Fund - Growth;32.3494;32.3494;32.3494;13-Apr-2015
112323;Axis Long Term Equity Fund - Growth;32.1227;32.1227;32.1227;15-Apr-2015
112323;Axis Long Term Equity Fund - Growth;31.9029;31.9029;31.9029;16-Apr-2015
112323;Axis Long Term Equity Fund - Growth;31.3960;31.3960;31.3960;17-Apr-2015
112323;Axis Long Term Equity Fund - Growth;30.9734;30.9734;30.9734;20-Apr-2015
112323;Axis Long Term Equity Fund - Growth;30.6180;30.6180;30.6180;21-Apr-2015
112323;Axis Long Term Equity Fund - Growth;30.6217;30.6217;30.6217;22-Apr-2015
112323;Axis Long Term Equity Fund - Growth;30.5816;30.5816;30.5816;23-Apr-2015
112323;Axis Long Term Equity Fund - Growth;29.9892;29.9892;29.9892;24-Apr-2015
112323;Axis Long Term Equity Fund - Growth;29.5158;29.5158;29.5158;27-Apr-2015
112323;Axis Long Term Equity Fund - Growth;29.7644;29.7644;29.7644;28-Apr-2015
112323;Axis Long Term Equity Fund - Growth;29.9500;29.9500;29.9500;29-Apr-2015
112323;Axis Long Term Equity Fund - Growth;30.0148;30.0148;30.0148;30-Apr-2015
112323;Axis Long Term Equity Fund - Growth;30.3407;30.3407;30.3407;04-May-2015
112323;Axis Long Term Equity Fund - Growth;30.4246;30.4246;30.4246;05-May-2015
112323;Axis Long Term Equity Fund - Growth;29.6187;29.6187;29.6187;06-May-2015
112323;Axis Long Term Equity Fund - Growth;29.3038;29.3038;29.3038;07-May-2015
112323;Axis Long Term Equity Fund - Growth;29.8249;29.8249;29.8249;08-May-2015
112323;Axis Long Term Equity Fund - Growth;30.3252;30.3252;30.3252;11-May-2015
112323;Axis Long Term Equity Fund - Growth;29.8445;29.8445;29.8445;12-May-2015
112323;Axis Long Term Equity Fund - Growth;30.2286;30.2286;30.2286;13-May-2015
112323;Axis Long Term Equity Fund - Growth;30.2943;30.2943;30.2943;14-May-2015
112323;Axis Long Term Equity Fund - Growth;30.5588;30.5588;30.5588;15-May-2015
112323;Axis Long Term Equity Fund - Growth;30.7903;30.7903;30.7903;18-May-2015
112323;Axis Long Term Equity Fund - Growth;30.7772;30.7772;30.7772;19-May-2015
112323;Axis Long Term Equity Fund - Growth;30.9376;30.9376;30.9376;20-May-2015
112323;Axis Long Term Equity Fund - Growth;30.9880;30.9880;30.9880;21-May-2015
112323;Axis Long Term Equity Fund - Growth;31.1544;31.1544;31.1544;22-May-2015
112323;Axis Long Term Equity Fund - Growth;30.9884;30.9884;30.9884;25-May-2015
112323;Axis Long Term Equity Fund - Growth;30.7882;30.7882;30.7882;26-May-2015
112323;Axis Long Term Equity Fund - Growth;30.5567;30.5567;30.5567;27-May-2015
112323;Axis Long Term Equity Fund - Growth;30.4460;30.4460;30.4460;28-May-2015
112323;Axis Long Term Equity Fund - Growth;30.9065;30.9065;30.9065;29-May-2015
112323;Axis Long Term Equity Fund - Growth;30.7262;30.7262;30.7262;01-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.1993;30.1993;30.1993;02-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.8499;29.8499;29.8499;03-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.9047;29.9047;29.9047;04-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.8694;29.8694;29.8694;05-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.5255;29.5255;29.5255;08-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.3907;29.3907;29.3907;09-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.7776;29.7776;29.7776;10-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.3258;29.3258;29.3258;11-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.1966;29.1966;29.1966;12-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.3048;29.3048;29.3048;15-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.3832;29.3832;29.3832;16-Jun-2015
112323;Axis Long Term Equity Fund - Growth;29.6660;29.6660;29.6660;17-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.0745;30.0745;30.0745;18-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.2152;30.2152;30.2152;19-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.5964;30.5964;30.5964;22-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.7157;30.7157;30.7157;23-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.6581;30.6581;30.6581;24-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.8413;30.8413;30.8413;25-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.8378;30.8378;30.8378;26-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.4757;30.4757;30.4757;29-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.6915;30.6915;30.6915;30-Jun-2015
112323;Axis Long Term Equity Fund - Growth;30.9702;30.9702;30.9702;01-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.0449;31.0449;31.0449;02-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.0469;31.0469;31.0469;03-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.1274;31.1274;31.1274;06-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.2107;31.2107;31.2107;07-Jul-2015
112323;Axis Long Term Equity Fund - Growth;30.8118;30.8118;30.8118;08-Jul-2015
112323;Axis Long Term Equity Fund - Growth;30.6987;30.6987;30.6987;09-Jul-2015
112323;Axis Long Term Equity Fund - Growth;30.8389;30.8389;30.8389;10-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.1958;31.1958;31.1958;13-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.1453;31.1453;31.1453;14-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.3909;31.3909;31.3909;15-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.7436;31.7436;31.7436;16-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.7655;31.7655;31.7655;17-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.7939;31.7939;31.7939;20-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.3077;31.3077;31.3077;21-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.4880;31.4880;31.4880;22-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.3344;31.3344;31.3344;23-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.3216;31.3216;31.3216;24-Jul-2015
112323;Axis Long Term Equity Fund - Growth;30.9351;30.9351;30.9351;27-Jul-2015
112323;Axis Long Term Equity Fund - Growth;30.9343;30.9343;30.9343;28-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.2067;31.2067;31.2067;29-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.3318;31.3318;31.3318;30-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.4535;31.4535;31.4535;31-Jul-2015
112323;Axis Long Term Equity Fund - Growth;31.4518;31.4518;31.4518;03-Aug-2015
112323;Axis Long Term Equity Fund - Growth;31.7843;31.7843;31.7843;04-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.2094;32.2094;32.2094;05-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.3268;32.3268;32.3268;06-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.3700;32.3700;32.3700;07-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.2765;32.2765;32.2765;10-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.1835;32.1835;32.1835;11-Aug-2015
112323;Axis Long Term Equity Fund - Growth;31.8056;31.8056;31.8056;12-Aug-2015
112323;Axis Long Term Equity Fund - Growth;31.8475;31.8475;31.8475;13-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.4476;32.4476;32.4476;14-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.4874;32.4874;32.4874;17-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.5782;32.5782;32.5782;18-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.8380;32.8380;32.8380;19-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.4314;32.4314;32.4314;20-Aug-2015
112323;Axis Long Term Equity Fund - Growth;32.1996;32.1996;32.1996;21-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.2252;30.2252;30.2252;24-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.3283;30.3283;30.3283;25-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.0368;30.0368;30.0368;26-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.8087;30.8087;30.8087;27-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.8624;30.8624;30.8624;28-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.7694;30.7694;30.7694;31-Aug-2015
112323;Axis Long Term Equity Fund - Growth;30.1721;30.1721;30.1721;01-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.1880;30.1880;30.1880;02-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.5182;30.5182;30.5182;03-Sep-2015
112323;Axis Long Term Equity Fund - Growth;29.9222;29.9222;29.9222;04-Sep-2015
112323;Axis Long Term Equity Fund - Growth;29.5212;29.5212;29.5212;07-Sep-2015
112323;Axis Long Term Equity Fund - Growth;29.6929;29.6929;29.6929;08-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.1551;30.1551;30.1551;09-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.1469;30.1469;30.1469;10-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.1382;30.1382;30.1382;11-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.3327;30.3327;30.3327;14-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.2558;30.2558;30.2558;15-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.3024;30.3024;30.3024;16-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.7367;30.7367;30.7367;18-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.8119;30.8119;30.8119;21-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.3066;30.3066;30.3066;22-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.4367;30.4367;30.4367;23-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.6044;30.6044;30.6044;24-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.3779;30.3779;30.3779;28-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.4666;30.4666;30.4666;29-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.6194;30.6194;30.6194;30-Sep-2015
112323;Axis Long Term Equity Fund - Growth;30.6256;30.6256;30.6256;01-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.0229;31.0229;31.0229;05-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.0146;31.0146;31.0146;06-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.0734;31.0734;31.0734;07-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.9480;30.9480;30.9480;08-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.9965;30.9965;30.9965;09-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.9353;30.9353;30.9353;12-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.8539;30.8539;30.8539;13-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.8845;30.8845;30.8845;14-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.9485;30.9485;30.9485;15-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.0891;31.0891;31.0891;16-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.1300;31.1300;31.1300;19-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.3072;31.3072;31.3072;20-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.2001;31.2001;31.2001;21-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.2141;31.2141;31.2141;23-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.1112;31.1112;31.1112;26-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.1215;31.1215;31.1215;27-Oct-2015
112323;Axis Long Term Equity Fund - Growth;31.0329;31.0329;31.0329;28-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.8566;30.8566;30.8566;29-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.9303;30.9303;30.9303;30-Oct-2015
112323;Axis Long Term Equity Fund - Growth;30.7803;30.7803;30.7803;02-Nov-2015
112323;Axis Long Term Equity Fund - Growth;30.7945;30.7945;30.7945;03-Nov-2015
