Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.5411;27.5411;27.5411;01-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.8447;27.8447;27.8447;06-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.8437;27.8437;27.8437;07-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;28.0491;28.0491;28.0491;08-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;28.2796;28.2796;28.2796;09-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;28.2274;28.2274;28.2274;10-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;28.3520;28.3520;28.3520;13-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;28.1550;28.1550;28.1550;15-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.9631;27.9631;27.9631;16-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.5197;27.5197;27.5197;17-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.1517;27.1517;27.1517;20-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.8409;26.8409;26.8409;21-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.8450;26.8450;26.8450;22-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.8105;26.8105;26.8105;23-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.2922;26.2922;26.2922;24-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;25.8795;25.8795;25.8795;27-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.0983;26.0983;26.0983;28-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.2617;26.2617;26.2617;29-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.3207;26.3207;26.3207;30-Apr-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.6094;26.6094;26.6094;04-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.6837;26.6837;26.6837;05-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;25.9778;25.9778;25.9778;06-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;25.7026;25.7026;25.7026;07-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.1603;26.1603;26.1603;08-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.6014;26.6014;26.6014;11-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.1806;26.1806;26.1806;12-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.5183;26.5183;26.5183;13-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.5767;26.5767;26.5767;14-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.8102;26.8102;26.8102;15-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.0156;27.0156;27.0156;18-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.0049;27.0049;27.0049;19-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.1465;27.1465;27.1465;20-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.1915;27.1915;27.1915;21-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.3383;27.3383;27.3383;22-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.1951;27.1951;27.1951;25-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;27.0205;27.0205;27.0205;26-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.8182;26.8182;26.8182;27-May-2015
120502;Axis Long Term Equity Fund - Direct Plan - Dividend option;26.7219;26.7219;26.7219;28-May-2015
